Keywords,TweetID,AuthorID,Hashtags,Tweet Created at,Tweet Text,Likes,Reply,Retweets,Polarity
#Psaki,1496280761015615494,1157019939787722755,Psaki PsakiBomb,2022-02-23 00:28:27+00:00,#Psaki   #PsakiBomb https://t.co/W7dpE4vwcc,4,0,0,0.0
#Psaki,1496298524719435782,810302458895286273,Psaki PsakiBURN,2022-02-23 01:39:02+00:00,"RT @mog7546: #Psaki Calls Out Traitor Trump For Putin Praise

#PsakiBURN:  “we don’t take advice from Putin supporting traitors even if the…",0,0,21,0.25
#AnthonyBlinken,1496005156273815558,788689315,US condemns Russian Ukraine separatistprovinces AnthonyBlinken,2022-02-22 06:13:18+00:00,"ರಷ್ಯಾ ವಿರುದ್ಧ ಬ್ಲಿಂಕೆನ್ ಟೀಕೆ
https://t.co/0YUoXF3vC5

#US #condemns #Russian  #Ukraine #separatistprovinces #AnthonyBlinken",0,0,0,0.0
#JenPsaki,1495967740930277387,1203153399266459649,WhiteHouse JenPsaki JoeBiden,2022-02-22 03:44:37+00:00,RT @sirajnoorani: #WhiteHouse press secretary #JenPsaki has said that US President #JoeBiden will soon sign an executive order banning Amer…,0,0,1,0.0
#Psaki,1494778423029473286,1013927961966280706,CracKPipeBiden JoeBidensAmerica Bidenflation BidenApproval BidenAdministration POTUS WhiteHouse psaki,2022-02-18 20:58:42+00:00,"Democrat Blocks Bipartisan Bill Banning Funding For Crack Pipe, Drug Paraphernalia Distribution
 https://t.co/jeIGgBRFWn
@dailycaller

#CracKPipeBiden @potus #JoeBidensAmerica #Bidenflation #BidenApproval @WhiteHouse #BidenAdministration #POTUS #WhiteHouse @PressSec @psaki #psaki",0,0,0,0.0
#JenPsaki,1495901194107211782,748309946039558145,JenPsaki,2022-02-21 23:20:11+00:00,"RT @chasbottom: ""Well, if it's just a ""minor invasion"" that's OK."" Right @PressSec #JenPsaki?",0,0,2,0.2452380952380952
#Psaki,1494722780838965251,1123641386,Biden Psaki russianinvasion Ukrainian,2022-02-18 17:17:36+00:00,"@cnnbrk What diplomacy is #Biden referring to? Last couple of weeks all he talks about is, as #Psaki phrased it, an “inevitable #russianinvasion”. Even #Ukrainian intelligence has stated there is no threat of a Russian invasion. https://t.co/paIpFKxRpt",0,0,0,0.0
#JenPsaki,1496110728348147712,1370267270891638787,joebiden JenPsaki Biden DonaldTrump Trump maga republicans Conservatives republicanparty latinosenusa latinosenmiami latinosunidos latinafortrump latinosdelmundo,2022-02-22 13:12:48+00:00,"Siempre nos dicen mentiras😡

¡Te leemos!

Si te gusta este post, ¡síguenos y compártelo!

#joebiden #JenPsaki #Biden  #DonaldTrump #Trump #maga  #republicans #Conservatives #republicanparty #latinosenusa #latinosenmiami #latinosunidos #latinafortrump #latinosdelmundo https://t.co/OiEfZQwumg",0,0,0,0.0
#JenPsaki,1494969732549775362,1223930138,USA JenPsaki AnneNeuberger DaleepSingh Russia Ukraine,2022-02-19 09:38:54+00:00,"Worth to watch this Press Briefing by #USA Press Secretary #JenPsaki, Deputy National Security Advisor for Cyber and Emerging Technology #AnneNeuberger, and Deputy National Security Advisor and Deputy NEC Director #DaleepSingh on #Russia - #Ukraine 

https://t.co/fB8uUgI0qo",0,0,0,0.3
#JenPsaki,1495045454953865219,837976136,government democratsincongress jenpsaki,2022-02-19 14:39:47+00:00,"Really? And who says this is a conspiracy theory now? The #government, @LeftistSocDem @TheDemocrats #democratsincongress @RepLizCheney #jenpsaki @POTUS @VP   Wake up!!! https://t.co/8jMmIfpJgM",0,0,0,0.390625
#JenPsaki,1495060654499184642,809974490,OttowaPolice JenPsaki gaslighting,2022-02-19 15:40:11+00:00,"RT @ZiaErica: Who's writing the posts for the #OttowaPolice, #JenPsaki? 
Holy shit these liars, you should look at their #gaslighting timel…",0,0,3,-0.2
#JenPsaki,1495061215676149769,1495014393033203712,CNN360 CNN POTUS AOC NancyPelosi Democrats Canada JenPsaki,2022-02-19 15:42:25+00:00,"So we will remember next time #CNN360 #CNN #POTUS #AOC #NancyPelosi #Democrats rail against a government for suppressing protests, suppressing protests is OK now :) this will be remembered :)
#Canada #JenPsaki",1,0,0,0.375
#JenPsaki,1495057472637202432,14513611,Fox JacquiHeinrich JenPsaki PsakiBomb JoeBiden Ukraine Russia Sanctions,2022-02-19 15:27:32+00:00,"Instead of being thoroughly unprepared, this time Jacqui Heinrich was simply vicious. #Fox #JacquiHeinrich #JenPsaki #PsakiBomb #JoeBiden #Ukraine #Russia #Sanctions https://t.co/hUycVuANHm",19,0,13,-1.0
#JenPsaki,1495010063462719488,887102582216204288,psaki jenpsaki DeSantis,2022-02-19 12:19:09+00:00,Psaki: DeSantis 😜🤪 #psaki #jenpsaki #DeSantis https://t.co/fTMRQB6NPr via @YouTube,0,0,0,0.0
#JenPsaki,1496109903567544322,1367292689830580224,joebiden JenPsaki quarentine biden donaldtrump trumpsaveamerica trump trump2024 maga makeamericagreatagain republicans conservatives republicanparty americanlgnd americanlgnds,2022-02-22 13:09:32+00:00,"They always tell us lies😡

If you like this post, follow us and share it!

#joebiden #JenPsaki #quarentine #biden  #donaldtrump #trumpsaveamerica #trump #trump2024 #maga #makeamericagreatagain #republicans #conservatives #republicanparty #americanlgnd #americanlgnds https://t.co/6fdzqgDJiA",0,0,0,0.0
#Psaki,1494722733715988485,1123641386,Biden Psaki russianinvasion Ukrainian,2022-02-18 17:17:24+00:00,"@27khv @aaron_schwa What diplomacy is #Biden referring to? Last couple of weeks all he talks about is, as #Psaki phrased it, an “inevitable #russianinvasion”. Even #Ukrainian intelligence has stated there is no threat of a Russian invasion. https://t.co/paIpFKxRpt",0,0,0,0.0
#JenPsaki,1495900886840844291,1492105801,JenPsaki,2022-02-21 23:18:58+00:00,"""Well, if it's just a ""minor invasion"" that's OK."" Right @PressSec #JenPsaki? https://t.co/aySauG9jwk",3,1,2,0.2452380952380952
#Psaki,1494774787792584713,1267627411761500160,Psaki Biden BuildBackBetter,2022-02-18 20:44:15+00:00,"#Psaki talks &amp; the markets sell-off - don't think this is just chance - this is what the shadow #Biden government wants - to destroy the wealth gap by killing asset prices, leading to a socialist state where we are dependent on the gov't for sustenance #BuildBackBetter $spy $qqq",0,0,0,0.0
#JenPsaki,1495966127318466560,17823105,PressSecretary JenPsaki Ukraine,2022-02-22 03:38:13+00:00,Statement by #PressSecretary #JenPsaki on Russian Announcement on Eastern #Ukraine https://t.co/Dy7AtdJ6wK,0,0,0,0.0
#AnthonyBlinken,1496131922682130445,774983437,22Feb USA KamalaHarris AnthonyBlinken Ucrania,2022-02-22 14:37:01+00:00,"#22Feb Impresionante la candidez o la desconexión de la realidad en los niveles más altos del gobierno de #USA🇺🇲: Vice-Pdte #KamalaHarris y el Sec. de Estado #AnthonyBlinken en medio de cañozanos y detonaciones en #Ucrania 🇺🇦 creen aún ""hay margen para la diplomacia"". https://t.co/KN40uXYVtB",1,0,1,-0.1
#Psaki,1496297026300092418,1480660037328863235,Ukraine biden RussiaUkraineCrisis RussiaUkraineConflict russia PsakiBomb Psaki,2022-02-23 01:33:05+00:00,"Have they tried telling #Ukraine to just drink a margarita or do some Tae Bo?

#biden #RussiaUkraineCrisis #RussiaUkraineConflict #russia #PsakiBomb #Psaki",0,0,0,0.0
#Psaki,1496280593088270339,1076129354432819200,Psaki PsakiBURN,2022-02-23 00:27:47+00:00,"RT @mog7546: #Psaki Calls Out Traitor Trump For Putin Praise

#PsakiBURN:  “we don’t take advice from Putin supporting traitors even if the…",0,0,21,0.25
#Psaki,1496294128002478085,825084934113079296,Psaki PsakiBURN,2022-02-23 01:21:34+00:00,"RT @mog7546: #Psaki Calls Out Traitor Trump For Putin Praise

#PsakiBURN:  “we don’t take advice from Putin supporting traitors even if the…",0,0,21,0.25
#JenPsaki,1495777253824901122,1186406702,psaki russia ucraina casabianca jenpsaki,2022-02-21 15:07:42+00:00,"RT @MediasetTgcom24: Ucraina, Casa Bianca: ""Mosca continua preparativi per l'invasione""  #psaki #russia #ucraina #casabianca #jenpsaki http…",0,0,10,0.0
#JenPsaki,1495887888336175104,890235466305458176,Szankciók Biden CharlesMichel DonyeckiNépköztársaság EurópaiTanács FehérHáz JenPsaki LuhanszkiNépköztársaság NATO Putyin Ukrajna UrsulaVonDerLeyen VolodimirZelenszkij,2022-02-21 22:27:19+00:00,"Ez még csak ""#Szankciók light"" https://t.co/9KRV3oiGO5
#Biden #CharlesMichel #DonyeckiNépköztársaság #EurópaiTanács #FehérHáz #JenPsaki #LuhanszkiNépköztársaság #NATO #Putyin #Ukrajna #UrsulaVonDerLeyen #VolodimirZelenszkij https://t.co/Bjp5DCE82m",0,0,0,0.4
#Psaki,1494739485426397186,636923564,psaki,2022-02-18 18:23:58+00:00,Nope #psaki👎👎👎 https://t.co/Kwea6bPQLt,1,0,0,0.0
